,source,target,weight
1,P1011,P1025,0.7889928
2,P1025,P1028,0.75743705882353
3,P1006,P1029,0.759557647058823
4,P1011,P1029,0.754755357142857
5,P1025,P1029,0.756054230769231
6,P1011,P1056,0.756617727272727
7,P1029,P1056,0.80179875
8,P1011,P1067,0.750842
9,P1011,P1076,0.7792456
10,P1029,P1076,0.765751428571429
11,P1056,P1076,0.757563541666667
12,P1029,P1088,0.7750353125
13,P1076,P1088,0.764414117647059
14,P1011,P1094,0.771104090909091
15,P1029,P1094,0.772366153846154
16,P1088,P1094,0.774860476190476
17,P1011,P1106,0.764922941176471
18,P1025,P1106,0.751862608695652
19,P1067,P1106,0.807863684210526
20,P1088,P1106,0.770113571428571
21,P1006,P1108,0.786791219512195
22,P1011,P1108,0.754725882352941
23,P1029,P1108,0.754449677419355
24,P1056,P1108,0.762499230769231
25,P1088,P1108,0.751232631578947
26,P1094,P1108,0.765873846153846
27,P1011,P1111,0.7574135
28,P1025,P1111,0.752089090909091
29,P1076,P1111,0.746102903225806
30,P1088,P1111,0.768653076923077
31,P1094,P1111,0.80237
32,P1106,P1111,0.744414358974359
33,P1108,P1111,0.7941421875
34,P1025,P1114,0.75047935483871
35,P1076,P1114,0.746542352941177
36,P1088,P1114,0.745816538461539
37,P1029,P1115,0.7675159375
38,P1056,P1115,0.774171428571429
39,P1094,P1115,0.754622608695652
40,P1111,P1115,0.767969411764706
41,P1029,P1120,0.749280666666667
42,P1076,P1120,0.757157575757576
43,P1094,P1120,0.774951176470588
44,P1108,P1120,0.772995217391304
45,P1111,P1120,0.762481944444444
46,P1011,P1123,0.754549444444444
47,P1056,P1123,0.749734166666667
48,P1076,P1123,0.763969411764706
49,P1108,P1123,0.771601875
50,P1029,P1124,0.756349696969697
51,P1056,P1124,0.7426175
52,P1067,P1124,0.799417777777778
53,P1076,P1124,0.747746153846154
54,P1088,P1124,0.747713076923077
55,P1108,P1124,0.770474615384615
56,P1029,P1129,0.781387916666667
57,P1056,P1129,0.799145333333333
58,P1076,P1129,0.792172857142857
59,P1088,P1129,0.751968913043478
60,P1094,P1129,0.76385
61,P1106,P1129,0.75289375
62,P1111,P1129,0.772555
63,P1115,P1129,0.762312820512821
64,P1124,P1129,0.773095454545454
65,P1029,P1133,0.755552619047619
66,P1056,P1133,0.795728571428571
67,P1076,P1133,0.785327
68,P1094,P1133,0.7527025
69,P1108,P1133,0.836720833333333
70,P1124,P1133,0.812383921568628
71,P1011,P1135,0.758701764705882
72,P1025,P1135,0.788721315789474
73,P1028,P1135,0.775263181818182
74,P1056,P1135,0.746401538461538
75,P1076,P1135,0.748820357142857
76,P1088,P1135,0.772873846153846
77,P1094,P1135,0.77493425
78,P1106,P1135,0.75398275862069
79,P1111,P1135,0.777849459459459
80,P1115,P1135,0.758788125
81,P1123,P1135,0.753084444444444
82,P1124,P1135,0.797820769230769
83,P1129,P1135,0.7637955
84,P1011,P1149,0.76635652173913
85,P1025,P1149,0.745710625
86,P1029,P1149,0.758625925925926
87,P1056,P1149,0.759256595744681
88,P1076,P1149,0.763268823529412
89,P1088,P1149,0.747432631578947
90,P1094,P1149,0.762051666666667
91,P1108,P1149,0.745055789473684
92,P1124,P1149,0.748476363636364
93,P1133,P1149,0.793868333333334
94,P1135,P1149,0.750409743589744
95,P1011,P1155,0.790334090909091
96,P1025,P1155,0.742675357142857
97,P1029,P1155,0.818747222222222
98,P1056,P1155,0.796081428571428
99,P1076,P1155,0.75408488372093
100,P1088,P1155,0.777506666666667
101,P1094,P1155,0.778800769230769
102,P1106,P1155,0.790684666666667
103,P1108,P1155,0.76257225
104,P1111,P1155,0.772825161290322
105,P1115,P1155,0.776973571428571
106,P1120,P1155,0.7622425
107,P1124,P1155,0.872288888888889
108,P1129,P1155,0.769817619047619
109,P1133,P1155,0.811838
110,P1135,P1155,0.762868611111111
111,P1149,P1155,0.796990666666667
112,P1011,P1164,0.762278666666667
113,P1025,P1164,0.749192222222222
114,P1029,P1164,0.749662857142857
115,P1056,P1164,0.779758372093023
116,P1067,P1164,0.743068285714286
117,P1076,P1164,0.766548043478261
118,P1088,P1164,0.782596
119,P1094,P1164,0.785165348837209
120,P1106,P1164,0.769528717948718
121,P1108,P1164,0.757268181818182
122,P1111,P1164,0.7982734
123,P1115,P1164,0.759226315789474
124,P1120,P1164,0.80035
125,P1124,P1164,0.770795714285714
126,P1129,P1164,0.808183333333333
127,P1133,P1164,0.769709166666667
128,P1135,P1164,0.778513529411765
129,P1149,P1164,0.748408333333333
130,P1155,P1164,0.797496739130435
131,P1056,P1165,0.766581162790698
132,P1133,P1165,0.75692
133,P1135,P1165,0.7617375
134,P1164,P1165,0.747960512820513
135,P1006,P1182,0.758567435897436
136,P1029,P1182,0.783213111111111
137,P1056,P1182,0.789287272727273
138,P1067,P1182,0.7506725
139,P1076,P1182,0.7814475
140,P1094,P1182,0.773842105263158
141,P1108,P1182,0.821201875
142,P1111,P1182,0.743882352941176
143,P1115,P1182,0.782438148148148
144,P1120,P1182,0.772863555555556
145,P1123,P1182,0.746992
146,P1124,P1182,0.74814487804878
147,P1129,P1182,0.743306
148,P1133,P1182,0.754113846153846
149,P1155,P1182,0.800889375
150,P1164,P1182,0.756393214285714
151,P1006,P1185,0.747379761904762
152,P1029,P1185,0.775412826086957
153,P1056,P1185,0.753980833333333
154,P1067,P1185,0.809216666666667
155,P1076,P1185,0.795224615384615
156,P1106,P1185,0.75064
157,P1108,P1185,0.748759090909091
158,P1120,P1185,0.747741428571429
159,P1124,P1185,0.800649230769231
160,P1133,P1185,0.817812653061224
161,P1149,P1185,0.855588181818182
162,P1155,P1185,0.777201
163,P1164,P1185,0.78914125
164,P1182,P1185,0.748275869565217
165,P1028,P1191,0.742894545454546
166,P1123,P1191,0.751575384615385
167,P1011,P1192,0.747724
168,P1025,P1192,0.767332222222222
169,P1029,P1192,0.813049375
170,P1056,P1192,0.747885128205128
171,P1076,P1192,0.746997142857143
172,P1088,P1192,0.743232608695652
173,P1106,P1192,0.763427391304348
174,P1108,P1192,0.7442775
175,P1115,P1192,0.7602125
176,P1123,P1192,0.767783636363636
177,P1124,P1192,0.791274285714286
178,P1129,P1192,0.762813913043478
179,P1133,P1192,0.755121428571429
180,P1149,P1192,0.744933142857143
181,P1182,P1192,0.779063333333333
182,P1185,P1192,0.858106666666667
183,P1011,P1193,0.74766
184,P1025,P1193,0.796283043478261
185,P1028,P1193,0.774389230769231
186,P1056,P1193,0.7670265
187,P1076,P1193,0.777927297297297
188,P1094,P1193,0.754352258064516
189,P1108,P1193,0.77649606060606
190,P1111,P1193,0.7515504
191,P1115,P1193,0.7518225
192,P1123,P1193,0.7875305
193,P1124,P1193,0.742678181818182
194,P1129,P1193,0.758554347826087
195,P1135,P1193,0.759114666666667
196,P1155,P1193,0.754536956521739
197,P1164,P1193,0.7756340625
198,P1165,P1193,0.749456190476191
199,P1192,P1193,0.745699393939394
200,P1029,P1196,0.764450740740741
201,P1056,P1196,0.760247058823529
202,P1076,P1196,0.763645238095238
203,P1108,P1196,0.7851148
204,P1123,P1196,0.743642
205,P1124,P1196,0.745964
206,P1149,P1196,0.785059534883721
207,P1155,P1196,0.767925777777778
208,P1182,P1196,0.78399
209,P1185,P1196,0.785214166666667
210,P1192,P1196,0.7449056
211,P1193,P1196,0.780099183673469
212,P1011,P1198,0.754529545454545
213,P1029,P1198,0.76804125
214,P1076,P1198,0.751221081081081
215,P1094,P1198,0.764174090909091
216,P1106,P1198,0.764921578947368
217,P1115,P1198,0.75445875
218,P1120,P1198,0.7605704
219,P1124,P1198,0.800824
220,P1129,P1198,0.822628
221,P1133,P1198,0.775318333333333
222,P1149,P1198,0.744426176470588
223,P1155,P1198,0.7809875
224,P1182,P1198,0.753075789473684
225,P1185,P1198,0.802273076923077
226,P1192,P1198,0.74790935483871
227,P1196,P1198,0.780512954545455
228,P1067,P1200,0.798028571428571
229,P1076,P1200,0.785808888888889
230,P1111,P1200,0.815341
231,P1124,P1200,0.769202040816326
232,P1133,P1200,0.809877037037037
233,P1155,P1200,0.860762857142857
234,P1164,P1200,0.839105555555556
235,P1165,P1200,0.786488333333333
236,P1185,P1200,0.7826074
